,city_name_zh,city_url,page_num
beijing,±±¾©,https://jobs.51job.com/beijing/,5083
shanghai,ÉÏº£,https://jobs.51job.com/shanghai/,5112
guangzhou,¹ãÖÝ,https://jobs.51job.com/guangzhou/,5051
shenzhen,ÉîÛÚ,https://jobs.51job.com/shenzhen/,5031
wuhan,Îäºº,https://jobs.51job.com/wuhan/,5038
xian,Î÷°²,https://jobs.51job.com/xian/,5086
hangzhou,º¼ÖÝ,https://jobs.51job.com/hangzhou/,5030
nanjing,ÄÏ¾©,https://jobs.51job.com/nanjing/,5098
chengdu,³É¶¼,https://jobs.51job.com/chengdu/,5122
chongqing,ÖØÇì,https://jobs.51job.com/chongqing/,5042
anshan,°°É½,https://jobs.51job.com/anshan/,90
anqing,°²Çì,https://jobs.51job.com/anqing/,86
anyang,°²Ñô,https://jobs.51job.com/anyang/,63
baotou,°üÍ·,https://jobs.51job.com/baotou/,64
baoding,±£¶¨,https://jobs.51job.com/baoding/,188
bangbu,°ö²º,https://jobs.51job.com/bangbu/,95
baoji,±¦¼¦,https://jobs.51job.com/baoji/,93
binzhou,±õÖÝ,https://jobs.51job.com/binzhou/,62
changchun,³¤´º,https://jobs.51job.com/changchun/,979
changsha,³¤É³,https://jobs.51job.com/changsha/,4854
changzhou,³£ÖÝ,https://jobs.51job.com/changzhou/,1806
changde,³£µÂ,https://jobs.51job.com/changde/,118
changshu,³£Êì,https://jobs.51job.com/changshu/,358
cangzhou,²×ÖÝ,https://jobs.51job.com/cangzhou/,97
chaozhou,³±ÖÝ,https://jobs.51job.com/chaozhou/,73
chenzhou,³»ÖÝ,https://jobs.51job.com/chenzhou/,83
chifeng,³à·å,https://jobs.51job.com/chifeng/,30
chuzhou,³üÖÝ,https://jobs.51job.com/chuzhou/,143
changzhi,³¤ÖÎ,https://jobs.51job.com/changzhi/,32
dalian,´óÁ¬,https://jobs.51job.com/dalian/,1857
dongguan,¶«Ý¸,https://jobs.51job.com/dongguan/,5023
dandong,µ¤¶«,https://jobs.51job.com/dandong/,67
daqing,´óÇì,https://jobs.51job.com/daqing/,44
dazhou,´ïÖÝ,https://jobs.51job.com/dazhou/,65
datong,´óÍ¬,https://jobs.51job.com/datong/,38
deyang,µÂÑô,https://jobs.51job.com/deyang/,137
dezhou,µÂÖÝ,https://jobs.51job.com/dezhou/,95
dongying,¶«Óª,https://jobs.51job.com/dongying/,62
errduosi,¶õ¶û¶àË¹,https://jobs.51job.com/errduosi/,31
ezhou,¶õÖÝ,https://jobs.51job.com/ezhou/,81
fuzhou,¸£ÖÝ,https://jobs.51job.com/fuzhou/,2256
foshan,·ðÉ½,https://jobs.51job.com/foshan/,3790
fushun,¸§Ë³,https://jobs.51job.com/fushun/,58
fuzhoue,¸§ÖÝ,https://jobs.51job.com/fuzhoue/,63
fuyang,¸·Ñô,https://jobs.51job.com/fuyang/,133
guiyang,¹óÑô,https://jobs.51job.com/guiyang/,882
