,job_name,put_time,salary,city,city_zh,recruit_num,work_year,study,company,company_url,work_addr,jd,jd_duty,jd_require,workfare,job_url
112125845,执行总经理,2019-04-02,shangqiu,六安,15-20万/年,1人,5-7年工作经验,高中,霍邱县红旭新型建材有限公司,,上班地址 : 安徽省六安市霍邱县临淮镇,"
			煤矸石新型墙体空心砖原材料采购、生产、销售、人事管理 ",,,,https://m.51job.com/jobs/liuan/112125845.html
105769149,生产经理-海盐工厂,2019-04-02,jiaxing,嘉兴,0.8-2万/月,2人,5-7年工作经验,大专,浙江埃菲东多新材料有限公司,,上班地址 : 海盐县经济开发区东港路28号（靠近平湖县乍浦）,"
1、负责公司的规章制度建设与管理、生产现场管理、生产设备管理、生产安全管理等工作；2、负责组织、建立工厂生产运营体系、质保体系及成本控制体系等，保证生产高效正常运行；3、 组织、计划、指导、控制及协调生产过程中的各种活动和资源，以达到公司对成本控制、 产品数量及质量等方面的要求；4、 负责本部门员工的培训、指导、考核、沟通、培养等管理工作。5、 组织落实、监督调控生产过程各项工艺、质量、设备、成本、产量指标等。6、 随时掌握生产过程中的质量状态，协调各部门之间的沟通与合作，及时解决生产中出现的问题及难题； 7、编制合理的生产安全计划表，严格执行生产安全管理制度，确保各类设备的安全运行；8、对员工进行安全生产教育，及时组织人员处理生产中出现的安全事故和安全隐患。岗位要求：1、大专及以上学历，5年以上现场生产管理经验；2、具有企业管理、生产管理、产品管理、质量管理、设备管理等相关专业知识；3、熟悉生产计划、调度、统计方式方法；4、较强的口头表达能力和组织协调能力；5、较强的分析能力、应变能力和决策能力；6、较强的管理技能和人际关系技能。7、海盐或平湖常住人员（非常住人员勿投简历）职位待遇一周六天工作制。筹备期内为5天工作制。一周六天工作制月薪：8000-20000元，5天工作制期间为7000-18500元年终奖：总计1到3个月月薪，视工作评估与公司业绩确定。当地社保 ",,,"['五险一金', '年终奖金', '绩效奖金', '通讯补贴']",https://m.51job.com/jobs/jiaxing/105769149.html
110488979,销售代表（五险）,2019-04-02,guilin,桂林,0.5-1万/月,30人,1年工作经验,高中,桂林盈兴电子科技有限公司,,上班地址 : 七星区七星路32号明珠大厦2-16-3,"
岗位职责1、销售人员职位，在上级的领导和监督下定期完成量化的工作要求，并能独立处理和解决所负责的任务；2、管理客户关系，完成销售任务；3、了解和发掘客户需求及购买愿望，介绍自己产品的优点和特色；4、对客户提供专业的咨询；5、收集潜在客户资料；6、收取应收帐款。任职资格1、专科及以上学历，市场营销等相关专业；2、2年以上销售行业工作经验，业绩突出者优先；3、性格外向、反应敏捷、表达能力强，具有较强的沟通能力及交际技巧，具有亲和力；4、具备一定的市场分析及判断能力，良好的客户服务意识；5、有责任心，能承受较大的工作压力。 ",,,"['绩效奖金', '年终奖金', '五险一金', '全勤奖', '带薪年假', '高温补贴', '节日福利']",https://m.51job.com/jobs/guilin/110488979.html
112119809,区域销售代表,2019-04-02,fuzhou,福州,6-8千/月,5人,1年工作经验,大专,海尔家电产业集团,,上班地址 : 台江区钱隆广场11层,"
岗位职责：1、负责公司产品在客户的市场营销推广支持，并与营销部对接相应的市场支持；2、制定合适的市场终端零售推广模式，并传达客户，协助客户做好市场推广工作；3、需要服从公司调配，省内出差（或派驻南平、三明、莆田、宁德、福州周边，公司提供住宿）福利：1、入职即购买养老、医保、失业、工伤、生育、住房公积金；2、去青岛总部带薪培训（报销来回机票）+季度奖+工龄奖3、良好的晋升空间，管培生-经理-总监-小微总的晋升空间4、员工享有国家规定的法定假日（年假、婚假、产假、哺乳假、丧假、带薪 病假等），除此之外，每工作一年有一天海尔年假；5、每月2000元以上商务费用补贴，转正之后再增加商务费用补贴；6、服装费用（500元/年）+季度奖+工龄福利+高温补贴（1000元/年）+年货福利+节假日礼品+生日福利+不定期激励. ",,,,https://m.51job.com/jobs/fuzhou/112119809.html
108270553,外业测量员,2019-04-02,jinzhou,沈阳-沈河区,3-4.5千/月,5人,1年工作经验,大专,沈阳金远创科技有限公司,,上班地址 : 哈尔滨路华府新天地C2座1909室,"
1、大专及大专以上学历2、测绘及地理信息等相关专业毕业3、做事认真负责，能及时完成领导安排的各项工作4、熟练外业工作流程5、有驾照者优先 ",,,"['五险一金', '餐饮补贴', '年终奖金', '周末双休']",https://m.51job.com/jobs/shenyang-shq/108270553.html
112125839,执行总经理,2019-04-02,weifang,六安,15-20万/年,1人,5-7年工作经验,高中,霍邱县红旭新型建材有限公司,,上班地址 : 安徽省六安市霍邱县临淮镇,"
			煤矸石新型墙体空心砖原材料采购、生产、销售、人事管理 ",,,,https://m.51job.com/jobs/liuan/112125839.html
106236120,应届毕业生 英语四级六级,2019-04-02,yiwu,义乌,6-8千/月,10人,,本科,亚杰电子商务,,上班地址 : 北苑秋实路117号商城创业园（B2幢1单元或者4单元5楼人事部）,"
负责亚马逊账号管理； 回复邮件及发货；店铺运营推广等；培训：体系完整的入职培训+老带新的工作全程培训+不定期公司内部进阶培训待遇：底薪3500-3800+高额提成+社保+全面的培训+广阔的上升空间，欢迎愿意努力奋斗的有志之士加入！公司90%的运营都是大学刚毕业的和实习后留下的，转正就有提成，3个月左右就有6000-8000，一年以上的都过万甚至已经是部门经理及股东，职位越高提成点越高。我们非常欢迎应届毕业生加入，只要你愿意学，团队会无条件的带您。要求：1、本科学历，专业不限；2、英语语言能力强，CET4或专业4级以上；3、学习应变能力强；工作态度积极主动，做事认真仔细，责任心强；4、优秀应届毕业生和实习生都可，有1年工作经历的更好； ",,,"['带薪年假', '五险一金', '包住宿', '节日福利', '专业培训', '加班补贴', '弹性工作', '绩效奖金', '周末双休']",https://m.51job.com/jobs/yiwu/106236120.html
110681059,综合柜员岗（和县）,2019-04-02,maanshan,马鞍山,4.5-6千/月,1人,,本科,新华人寿保险股份有限公司安徽分公司,,上班地址 : 花山区湖南东路财富广场,"
一、岗位要求(一)全日制本科及以上学历,专业不限；(二)品行端正,无不良记录;身体健康,仪表端庄;做地点(三)有较强的责任心、良好的敬业精神和团队协作能力;(四)工作地点：和县二、岗位职责1、受理和办理日常契约、保全、理赔、咨询投诉及附加值的一系列服务2、整理和临时保管契约、保全、理赔、咨诉等相关业务档案。三、福利待遇与公司签定劳动合同（非保险代理人合同/外包劳务合同），提供社会医疗保险、养老保险、失业保险、工伤保险、住房公积金及商业保险等待遇，并有发展和晋升空间。 ",,,"['周末双休', '带薪年假', '五险一金', '餐饮补贴', '专业培训', '节日福利', '高温补贴']",https://m.51job.com/jobs/maanshan/110681059.html
80711637,万科返修工程师,2019-04-02,dongguan,东莞,4.5-6千/月,3人,1年工作经验,大专,东莞市万科房地产有限公司,,上班地址 : 区,"
工作职责：负责项目现场前期的工程验收、项目交付、房屋维修等工作。任职要求：1. 大专以上学历，工民建、工程经济管理、装饰装修、物业管理相关专业；2. 一年以上工作经验，大型房地产公司、监理公司或建筑施工、装修公司工作背景优先，优秀应届毕业生亦可；3. 熟悉房屋的装修管理，熟悉当地物业管理的法律法规；能承受一定的工作压力，有返修及房屋整改、精装修等工作经验优先；4. 较强的服务意识，工作细致，责任心强，具有良好的组织、沟通能力及较强的综合事务处理能力。 ",,,"['五险一金', '定期体检', '年终奖金', '交通补贴', '餐饮补贴', '通讯补贴']",https://m.51job.com/jobs/dongguan/80711637.html
112125592,人事主管,2019-04-02,xiaogan,孝感,3-4.5千/月,1人,1年工作经验,大专,武汉铃儿铛品牌运营管理有限公司,,上班地址 : 可就近安排,"
１．负责公司人力资源工作的规划，建立、执行招聘、培训、考勤、劳动纪律等人事程序或规章制度；２． 负责制定和完善公司岗位编制，协调公司各部门有效的开发和利用人力，满足公司的经营管理需要；３． 根据现有的编织及业务发展需求，协调、统计各部门的招聘需求，编制年度/月度人员招聘计划，经批准后实施；４． 做好各岗位的职位说明书，并根据公司职位调整组要进行相应的变更，保证职位说明书与实际相符；５．负责办理入职手续，负责人事档案的管理、保管、用工合同的签订；联系人：王超联系电话：18607293833工作时间：08:30~17:30工作地址：孝感应城 ",,,"['带薪年假', '五险一金', '包住宿', '节日福利', '专业培训', '做六休一']",https://m.51job.com/jobs/xiaogan/112125592.html
112044807,小主播教师/口才教师,2019-04-02,quzhou,衢州,0.5-1万/月,5人,1年工作经验,大专,杭州乙奇文化传媒有限公司,,上班地址 : 龙游县兴龙南路158-168号,"
岗位职责：1.负责小主播课程教学工作、制定校区教学计划；2.负责校区体验课及转化；3.负责与家长沟通学员专业学习情况、与家长保持良好的关系，促进转介绍； 4.负责校区汇报演出等活动节目的安排、排练工作；任职资格：1.表演、播音、戏剧等相关专业毕业；2.有一年以上相关授课经验、有少儿教育工作相关背景，优秀毕业生、能力突出者，条件可适当放宽；3.热爱儿童教育行业，对孩子有耐心；4.普通话二级甲等以上；5.抗压能力强、善于与家长沟通。 ",,,"['绩效奖金', '节日福利', '专业培训', '餐饮补贴', '五险', '交通补贴', '通讯补贴', '员工旅游']",https://m.51job.com/jobs/quzhou/112044807.html
110395739,法务担当,2019-04-02,beijing,北京-东城区,5-7千/月,1人,,,罗森（北京）有限公司,,上班地址 : 建国门内大街甲18号4层4A-01,"
1.协调审核、修改合同，做好合同及禀议书管理工作。2.协助办理公司外国人就业、工作签证手续。3.负责处理调解与顾客、合作方之纠纷。4.诉讼材料整理及证据收集，协调起草公司法律公文。5.协助审核供应商资质、预防知识产权纠纷。6.协助上级交办的其他法务工作。任职要求：1.一年以上相关工作经验，具备大型企业法务工作经验优先。2.相关法律专业，本科及以上学历。3.具备日语听说读写能力，有律师资格证者优先。 ",,,"['五险一金', '带薪年假', '年底双薪', '补充医疗保险', '定期体检', '节日福利']",https://m.51job.com/jobs/beijing-dcq/110395739.html
110121513,综合管理人员,2019-04-02,lianyungang,连云港,6-8千/月,1人,,本科,中外运化工国际物流有限公司,,上班地址 : 连云区中华西路18号港口大厦1109室,"
岗位工作职责：  1、负责公司的办公、行政、后勤工作；  2、公司人员的招聘、入职、离职管理；  3、负责公司的固定资产统计、登记、处置等工作；  4、公司资质办理和年度复审；  5、公司的企业文化，对外宣传；  6、公司集中采购工作；  7、公司会务安排；  8、完成领导交代的其他工作。任职要求：  1、本科及以上学历；人力资源管理、行政管理、企业管理、财务管理等相关专业优先； 2、一年及以上司龄；   3、有人力资源、行政管理、企业宣传从业经验者优先；  4、工作态度认真仔细，具备一定的抗压能力；  5、沟通能力良好、服务意识强、有团队协作能力；  6、熟悉office及相关业务操作系统，英语口语良好。 ",,,"['五险一金', '补充医疗保险', '餐饮补贴', '交通补贴', '绩效奖金']",https://m.51job.com/jobs/lianyungang/110121513.html
111732624,商务BD/商务经理,2019-04-02,taiyuan,太原,6-8千/月,3人,1年工作经验,大专,百合网,,上班地址 : 太原市万柏林区太重宾馆一楼婚礼中心,"
岗位职责：1、负责太原区域酒店、餐饮企业、婚礼会所的招商，开发及维护，以实现每月的销售目标；2、对商户通过电话访问并开展销售活动3、代表公司通过客户关系管理与所负责的商户保持紧密的联系，紧跟市场动向，为商户订制最优的广告及行销方案，以实现公司利润最大化；4、处理商户的各种突发事件及投诉；5、确保每月商户账单正确及收款；6、与其他部门沟通、协调，密切配合；岗位要求：1、具有酒店餐饮、宴会、婚礼会所销售相关经验者优先；、2、大专以上学历，良好的中英文读写能力；3、具有良好的营销能力，人际沟通协调能力，计划与执行能力；4、业务渠道丰富，工作细致、严谨，及具有良好的团队协作精神；5、接收区域业务拓展的管理。 ",,,"['周末双休', '带薪年假', '五险一金', '绩效奖金', '专业培训', '年终奖金']",https://m.51job.com/jobs/taiyuan/111732624.html
110297863,冷饮东北大区辽西区域渠道精耕营销代表,2019-04-02,anshan,鞍山,4-5千/月,1人,无工作经验,大专,内蒙古伊利实业集团股份有限公司,,上班地址 : 辽宁省鞍山市,"
岗位职责：一、终端开发与维护：1、开发、维护区域市场内的各类终端售点；2、终端冰柜的投放工作，保障冰柜安全、监测冰柜利用程度； 3、检查冰柜陈列情况，根据陈列标准控制柜内产品数量、品种及摆放；保障终端冰柜的清洁及下单补货工作;4、生动化管理，公司相关广促物料的使用及维护；5、建立良好客情关系，及时了解终端需求；6、收集与反馈竞品信息，并每日与客户型业务反馈关于冰柜管理、利用情况、新产品铺市情况等信息；7、及时处理市场终端的各种问题，争取满足市场需求。二、销售活动开展配合与执行：1、协助销售代表开展各类终端促销活动，伊利企业形象的维护及品牌宣传；2、终端冰品销售的信息反馈；3、协助销售代表对主品的推广工作及新品的铺市工作。三、冰柜台账管理及跟进；四、上级安排的其他工作。 任职要求：1.学历和专业要求：统招大专及以上学历，专业不限;2.工作经验要求；1年以上;3.其他能力要求:应变能力强，反应敏捷,语言表达能力强、沟通能力、协调能力强,身体健康，能适应出差。（性别：男  年龄35岁以下不含35岁） ",,,"['五险一金', '绩效奖金', '专业培训']",https://m.51job.com/jobs/anshan/110297863.html
111731961,商务BD/商务经理,2019-04-02,changzhou,常州-新北区,6-8千/月,3人,1年工作经验,大专,百合网,,上班地址 : 常州市新北区府琛大厦2号楼615室,"
岗位职责：1、负责常州区域酒店、餐饮企业、婚礼会所的招商，开发及维护，以实现每月的销售目标；2、对商户通过电话访问并开展销售活动3、代表公司通过客户关系管理与所负责的商户保持紧密的联系，紧跟市场动向，为商户订制最优的广告及行销方案，以实现公司利润最大化；4、处理商户的各种突发事件及投诉；5、确保每月商户账单正确及收款；6、与其他部门沟通、协调，密切配合；岗位要求：1、具有酒店餐饮、宴会、婚礼会所销售相关经验者优先；、2、大专以上学历，良好的中英文读写能力；3、具有良好的营销能力，人际沟通协调能力，计划与执行能力；4、业务渠道丰富，工作细致、严谨，及具有良好的团队协作精神；5、接收区域业务拓展的管理。 ",,,"['周末双休', '带薪年假', '五险一金', '绩效奖金', '专业培训', '年终奖金']",https://m.51job.com/jobs/changzhou-xbq/111731961.html
111190868,农业技术员,2019-04-02,neijiang,绵阳,3-4.5千/月,3人,,中专,四川阿里邦尼商务服务有限公司,,上班地址 : 桂园雅居4期2栋2楼（涪城万达对面）,"
岗位职责1、负责制定公司农业生产发展规划，从理论和实践上进行可行性分析、论证，并积极组织实施；2、根据蚕业产业化发展的需要，提出生产和科学技术上应采取的技术措施，解决生产中重大技术问题；3、每个技术推广项目完成后，必须认真做好总结，、技术报告和工作总结；4.主要从事蚕桑等制种技术指导职位要求：岗位要求：1、45岁以下，形象气质良好；2、蚕学等相关专业院校，大专以上学历优先；3、有林木行业经验者优先、有驾照优先、能适应下基地与田间工作。4、可接受相关专业的优秀应届毕业生注：招聘公司为：嘉源亿泽现代农业科技有限公司。 ",,,"['年终奖金', '绩效奖金', '交通补贴', '五险']",https://m.51job.com/jobs/mianyang/111190868.html
88001985,医药信息咨询员,2019-04-02,hanzhong,汉中,3-4.5千/月,2人,1年工作经验,大专,西安汇秦生物科技有限公司,,上班地址 : 汉中市,"
岗位职责：1.负责公司产品在医院终端的学术推广及销售工作；2.在本区域建立销售网络，完成销售目标；3.负责策划、组织公司产品的宣传推广活动；4.负责建立客户资料和客户档案以及客户管理工作； 职位要求：大学专科及以上学历，医药或护理相关专业优先一年以上医药及相关行业销售经验有妇产儿领域产品销售优先愿意在应聘区域工作并长期发展具有独立开展业务的能力和学习能力良好的职业操守和沟通技巧勤奋,坚韧,乐观,积极向上 ",,,"['周末双休', '五险一金', '绩效奖金', '交通补贴', '通讯补贴']",https://m.51job.com/jobs/hanzhong/88001985.html
