,city_name_zh,city_url,page_num
beijing,±±¾©,https://m.51job.com/jobs/beijing/,
shanghai,ÉÏº£,https://m.51job.com/jobs/shanghai/,
guangzhou,¹ãÖÝ,https://m.51job.com/jobs/guangzhou/,
shenzhen,ÉîÛÚ,https://m.51job.com/jobs/shenzhen/,
wuhan,Îäºº,https://m.51job.com/jobs/wuhan/,
xian,Î÷°²,https://m.51job.com/jobs/xian/,
hangzhou,º¼ÖÝ,https://m.51job.com/jobs/hangzhou/,
nanjing,ÄÏ¾©,https://m.51job.com/jobs/nanjing/,
chengdu,³É¶¼,https://m.51job.com/jobs/chengdu/,
chongqing,ÖØÇì,https://m.51job.com/jobs/chongqing/,
anshan,°°É½,https://m.51job.com/jobs/anshan/,
anqing,°²Çì,https://m.51job.com/jobs/anqing/,
anyang,°²Ñô,https://m.51job.com/jobs/anyang/,
baotou,°üÍ·,https://m.51job.com/jobs/baotou/,
baoding,±£¶¨,https://m.51job.com/jobs/baoding/,
bangbu,°ö²º,https://m.51job.com/jobs/bangbu/,
baoji,±¦¼¦,https://m.51job.com/jobs/baoji/,
binzhou,±õÖÝ,https://m.51job.com/jobs/binzhou/,
changchun,³¤´º,https://m.51job.com/jobs/changchun/,
changsha,³¤É³,https://m.51job.com/jobs/changsha/,
changzhou,³£ÖÝ,https://m.51job.com/jobs/changzhou/,
changde,³£µÂ,https://m.51job.com/jobs/changde/,
changshu,³£Êì,https://m.51job.com/jobs/changshu/,
cangzhou,²×ÖÝ,https://m.51job.com/jobs/cangzhou/,
chaozhou,³±ÖÝ,https://m.51job.com/jobs/chaozhou/,
chenzhou,³»ÖÝ,https://m.51job.com/jobs/chenzhou/,
chifeng,³à·å,https://m.51job.com/jobs/chifeng/,
chuzhou,³üÖÝ,https://m.51job.com/jobs/chuzhou/,
changzhi,³¤ÖÎ,https://m.51job.com/jobs/changzhi/,
dalian,´óÁ¬,https://m.51job.com/jobs/dalian/,
dongguan,¶«Ý¸,https://m.51job.com/jobs/dongguan/,
dandong,µ¤¶«,https://m.51job.com/jobs/dandong/,
daqing,´óÇì,https://m.51job.com/jobs/daqing/,
dazhou,´ïÖÝ,https://m.51job.com/jobs/dazhou/,
datong,´óÍ¬,https://m.51job.com/jobs/datong/,
deyang,µÂÑô,https://m.51job.com/jobs/deyang/,
dezhou,µÂÖÝ,https://m.51job.com/jobs/dezhou/,
dongying,¶«Óª,https://m.51job.com/jobs/dongying/,
errduosi,¶õ¶û¶àË¹,https://m.51job.com/jobs/errduosi/,
ezhou,¶õÖÝ,https://m.51job.com/jobs/ezhou/,
fuzhou,¸£ÖÝ,https://m.51job.com/jobs/fuzhou/,
foshan,·ðÉ½,https://m.51job.com/jobs/foshan/,
fushun,¸§Ë³,https://m.51job.com/jobs/fushun/,
fuzhoue,¸§ÖÝ,https://m.51job.com/jobs/fuzhoue/,
fuyang,¸·Ñô,https://m.51job.com/jobs/fuyang/,
guiyang,¹óÑô,https://m.51job.com/jobs/guiyang/,
ganzhou,¸ÓÖÝ,https://m.51job.com/jobs/ganzhou/,
guangan,¹ã°²,https://m.51job.com/jobs/guangan/,
guangyuan,¹ãÔª,https://m.51job.com/jobs/guangyuan/,
guigang,¹ó¸Û,https://m.51job.com/jobs/guigang/,
guilin,¹ðÁÖ,https://m.51job.com/jobs/guilin/,
harbin,¹þ¶û±õ,https://m.51job.com/jobs/harbin/,
hefei,ºÏ·Ê,https://m.51job.com/jobs/hefei/,
haikou,º£¿Ú,https://m.51job.com/jobs/haikou/,
huhhot,ºôºÍºÆÌØ,https://m.51job.com/jobs/huhhot/,
huizhou,»ÝÖÝ,https://m.51job.com/jobs/huizhou/,
hengyang,ºâÑô,https://m.51job.com/jobs/hengyang/,
huaian,»´°²,https://m.51job.com/jobs/huaian/,
huzhou,ºþÖÝ,https://m.51job.com/jobs/huzhou/,
handan,ºªµ¦,https://m.51job.com/jobs/handan/,
hanzhong,ººÖÐ,https://m.51job.com/jobs/hanzhong/,
heyuan,ºÓÔ´,https://m.51job.com/jobs/heyuan/,
