,city_name_zh,city_url,page_num
beijing,北京,https://m.51job.com/jobs/beijing/,
shanghai,上海,https://m.51job.com/jobs/shanghai/,
guangzhou,广州,https://m.51job.com/jobs/guangzhou/,
shenzhen,深圳,https://m.51job.com/jobs/shenzhen/,
wuhan,武汉,https://m.51job.com/jobs/wuhan/,
xian,西安,https://m.51job.com/jobs/xian/,
hangzhou,杭州,https://m.51job.com/jobs/hangzhou/,
nanjing,南京,https://m.51job.com/jobs/nanjing/,
chengdu,成都,https://m.51job.com/jobs/chengdu/,
chongqing,重庆,https://m.51job.com/jobs/chongqing/,
anshan,鞍山,https://m.51job.com/jobs/anshan/,
anqing,安庆,https://m.51job.com/jobs/anqing/,
anyang,安阳,https://m.51job.com/jobs/anyang/,
baotou,包头,https://m.51job.com/jobs/baotou/,
baoding,保定,https://m.51job.com/jobs/baoding/,
bangbu,蚌埠,https://m.51job.com/jobs/bangbu/,
baoji,宝鸡,https://m.51job.com/jobs/baoji/,
binzhou,滨州,https://m.51job.com/jobs/binzhou/,
changchun,长春,https://m.51job.com/jobs/changchun/,
changsha,长沙,https://m.51job.com/jobs/changsha/,
changzhou,常州,https://m.51job.com/jobs/changzhou/,
changde,常德,https://m.51job.com/jobs/changde/,
changshu,常熟,https://m.51job.com/jobs/changshu/,
cangzhou,沧州,https://m.51job.com/jobs/cangzhou/,
chaozhou,潮州,https://m.51job.com/jobs/chaozhou/,
chenzhou,郴州,https://m.51job.com/jobs/chenzhou/,
chifeng,赤峰,https://m.51job.com/jobs/chifeng/,
chuzhou,滁州,https://m.51job.com/jobs/chuzhou/,
changzhi,长治,https://m.51job.com/jobs/changzhi/,
dalian,大连,https://m.51job.com/jobs/dalian/,
dongguan,东莞,https://m.51job.com/jobs/dongguan/,
dandong,丹东,https://m.51job.com/jobs/dandong/,
daqing,大庆,https://m.51job.com/jobs/daqing/,
dazhou,达州,https://m.51job.com/jobs/dazhou/,
datong,大同,https://m.51job.com/jobs/datong/,
