,city,job_url
110488979,guilin,https://m.51job.com/jobs/guilin/110488979.html
105769149,jiaxing,https://m.51job.com/jobs/jiaxing/105769149.html
112125839,weifang,https://m.51job.com/jobs/liuan/112125839.html
110681059,maanshan,https://m.51job.com/jobs/maanshan/110681059.html
88001985,hanzhong,https://m.51job.com/jobs/hanzhong/88001985.html
80711637,dongguan,https://m.51job.com/jobs/dongguan/80711637.html
111731961,changzhou,https://m.51job.com/jobs/changzhou-xbq/111731961.html
111190868,neijiang,https://m.51job.com/jobs/mianyang/111190868.html
108270553,jinzhou,https://m.51job.com/jobs/shenyang-shq/108270553.html
112119809,fuzhou,https://m.51job.com/jobs/fuzhou/112119809.html
112125845,shangqiu,https://m.51job.com/jobs/liuan/112125845.html
110297863,anshan,https://m.51job.com/jobs/anshan/110297863.html
106236120,yiwu,https://m.51job.com/jobs/yiwu/106236120.html
110395739,beijing,https://m.51job.com/jobs/beijing-dcq/110395739.html
112044807,quzhou,https://m.51job.com/jobs/quzhou/112044807.html
110121513,lianyungang,https://m.51job.com/jobs/lianyungang/110121513.html
112125592,xiaogan,https://m.51job.com/jobs/xiaogan/112125592.html
111732624,taiyuan,https://m.51job.com/jobs/taiyuan/111732624.html
75734994,harbin,https://m.51job.com/jobs/harbin/75734994.html
112119740,maoming,https://m.51job.com/jobs/guangzhou-yxq/112119740.html
111281907,weihai,https://m.51job.com/jobs/weihai/111281907.html
109650571,dandong,https://m.51job.com/jobs/dandong/109650571.html
112123784,heyuan,https://m.51job.com/jobs/heyuan/112123784.html
96473818,changde,https://m.51job.com/jobs/changde/96473818.html
107162117,ningde,https://m.51job.com/jobs/fuzhou-fqs/107162117.html
109305465,taizhoue,https://m.51job.com/jobs/zhejiangsheng/109305465.html
110681214,anqing,https://m.51job.com/jobs/anqing/110681214.html
111921462,foshan,https://m.51job.com/jobs/foshan-nhq/111921462.html
110807180,shanghai,https://m.51job.com/jobs/shanghai-sjq/110807180.html
111235947,liuzhou,https://m.51job.com/jobs/liuzhou/111235947.html
90452860,xinxiang,https://m.51job.com/jobs/xinxiang/90452860.html
92923197,qujing,https://m.51job.com/jobs/qujing/92923197.html
108940707,jinzhong,https://m.51job.com/jobs/jinzhong/108940707.html
112125371,yingkou,https://m.51job.com/jobs/yingkou/112125371.html
112124890,shangrao,https://m.51job.com/jobs/shangrao/112124890.html
112125928,jinhua,https://m.51job.com/jobs/ningbo/112125928.html
111558962,meishan,https://m.51job.com/jobs/meishan/111558962.html
101209667,weinan,https://m.51job.com/jobs/weinan/101209667.html
109894097,heze,https://m.51job.com/jobs/heze/109894097.html
110212511,hefei,https://m.51job.com/jobs/hefei/110212511.html
86679516,daqing,https://m.51job.com/jobs/daqing/86679516.html
109464515,changshu,https://m.51job.com/jobs/suzhou/109464515.html
111114734,fushun,https://m.51job.com/jobs/fushun/111114734.html
108710613,yinchuan,https://m.51job.com/jobs/yinchuan/108710613.html
110412268,pingdingshan,https://m.51job.com/jobs/pingdingshan/110412268.html
112124336,tangshan,https://m.51job.com/jobs/langfang/112124336.html
111296458,rizhao,https://m.51job.com/jobs/rizhao/111296458.html
110032188,jingmen,https://m.51job.com/jobs/jingmen/110032188.html
108073698,anyang,https://m.51job.com/jobs/anyang/108073698.html
112125844,xinyang,https://m.51job.com/jobs/liuan/112125844.html
112125395,guangzhou,https://m.51job.com/jobs/guangzhou-yxq/112125395.html
82173297,shaoguan,https://m.51job.com/jobs/shaoguan/82173297.html
