,category_no,job_name,job_no,salary,company,work_city,work_addr,lables,exp,edu,nature,adv,jd
1,10101,高级Java工程师,5335566,20k-35k ,和创科技（红圈营销）招聘,北京,新街口外大街甲14号十月大厦,"['后端', '平台']",经验5-10年 ,本科及以上 ,全职,大牛云集,"
岗位职责
1、负责系统的业务分析、架构设计和核心代码开发；
2、负责系统的稳定性保障，建设高并发、高性能、高可用系统
3、攻克技术难点，指导初级工程师，促进团队共同成长；

任职资格
1、4年以上分布式系统设计和开发经验，基础扎实；
2、具备编写高质量代码能力，乐于钻研技术并提高代码性能、可扩展性、可维护性；
3、熟练掌握主流开源应用框架，Spring MVC、Spring Boot、Mybatis等；
4、熟练掌握MySQL、Oracle应用开发，熟悉数据库原理和性能优化；
5、熟悉Dubbo、Spring Cloud等服务框架，熟悉Memcached、Redis；
6、熟悉消息中间件，RabbitMQ、Kafka等，有相关实践经验优化考虑；
7、了解搜索引擎原理，Elasticsearch、Lucene等，有相关实践经验优化考虑；
8、有大型分布式系统设计开发经验优先考虑；
"
2,10101,Java研发技术专家,4846441,26k-35k ,华锐金融技术招聘,深圳,天安数码城天经大厦A座603,"['分布式', 'Java', '系统架构']",经验5-10年 ,本科及以上 ,全职,"五险一金,股权激励,员工食堂,加班补贴","
职责描述：
1、从事金融类应用软件系统研发；
2、负责应用系统需求分析、技术选型、架构设计、框架搭建、核心算法设计，核心代码编写；
3、负责应用系统模块分解、核心接口设计、团队分工安排，解决团队中的技术不一致；
4、指导技术团队合理使用开发环境和支撑工具，牵头进行技术攻关，确保研发过程高效顺畅；
5、通过设计评审、代码评审等方式，识别通用组件或重构需求，保证开发质量。

任职要求：
1、5年以上JAVA开发经验；
2、精通JAVA后端开发技术，并深刻理解其原理，包括Spring、SpringMVC、MyBatis、RESTful、SpringBoot、SpringCloud、Dubbo等；
3、理解前端开发技术原理，包括JS、CSS、H5，及相关开发框架；
4、精通分布式系统设计，包括集群管理、日志监控、高可用设计、性能调优、安全防御等；
5、熟悉各种中间件的使用，并精通其中至少一个，包括MySQL、Tomcat、Reids、Nginx、Varnish、Kafka、ZooKeeper、ElasticSearch等；
6、具备网络设备基础知识，并理解TCP/IP网络协议原理；
7、具备多线程、高并发、高吞吐编程能力；
8、具备敏锐的技术嗅觉，熟悉业界技术发展动态，热爱技术；
9、有运维管理系统、金融业务管理系统、风控系统、实时流计算系统开发经验者优先；
10、具有DevOps或大规模集群系统实践经验者优先。
"
3,10101,Java开发工程师,4382581,8k-16k ,荔枝技术部招聘,广州,羊城创意园,"['Java', 'MySQL']",经验1-3年 ,本科及以上 ,全职,"技术大牛多,薪酬福利好","
岗位职责：
1、独立完成产品线内项目的系统分析、设计，并主导完成详细设计和编码的任务，确保项目的进度和质量；
2、主导技术难题攻关，解决各种疑难杂症，系统优化，持续提升核心系统的性能与可用性。
岗位要求：
1、1年以上开发经验，具备千万级用户产品研发经验；
2、扎实的Java编程基础，熟悉常用的设计模式、多线程编程、NIO模型，具备良好的编码实践，善于重构代码和有CodeReview习惯的尤佳；
3、熟悉高性能、高并发、高可用性分布式系统设计，熟悉RPC、缓存、消息队列、负载均衡、Nginx等，并能进行系统的调优和优化；
4、熟悉JVM，包括内存模型、类加载机制以及性能优化；
5、熟悉MySQL数据库，有数据库调优经验，熟悉主流NoSQL数据库；
6、熟悉linux等操作系统的日常操作，熟练采用maven，git；
7、解决线上问题能力强，善于定位问题原因；
8、绝对的细心，有耐心，有一定抗压能力，有强烈的deadline意识；
9、对技术有激情，具备良好的学习能力和团队协作能力，善于沟通和分享。
"
4,10101,JAVA工程师,4802363,20k-40k ,贝壳招聘,北京,开拓路11号福道大厦,['Java'],经验3-5年 ,本科及以上 ,全职,"免费三餐,六险两金,行业翘首,大牛云集","
工作职责:参与核心项目设计&开发&技术攻坚&文档撰写；任职资格:1.全日制本科及以上学历，如果是计算机/软件工程专业的更好，当然，如果觉得自己技术很牛逼，做事很有责任心，Owner意识非常好，这些要求都可以不要求； 2.熟练掌握Spring/SpringMVC/Mybatis等主流JAVA框架，有经得起推敲的实际项目经验； 3.熟练掌握数据结构、算法、设计模式、操作系统原理、TCP/IP协议等; 4.熟悉NoSQL、MQ、Cache等中间件的机制和应用（Redis、MC、Kafka、ES、Mongodb等）; 5.熟悉Mysql基础知识，了解数据库的设计模式，掌握索引的设计原则，了解Hbase特性者优先； 6.有代码重构，有大型项目基础及应用架构设计经验者优先；7.我们希望你对互联网的最新前沿技术有关注，喜欢去看及尝试最新的技术，追求编写优雅的代码，从技术趋势和思路上能影响技术团队； 
"
5,10101,Java开发工程师,5589260,20k-40k ,有赞产品技术中心招聘,杭州,黄龙万科中心,"['后端', 'Java']",经验3-5年 ,学历不限 ,全职,"发展空间,企业文化,专业团队","
工作内容：
1. 独立负责单点技术的设计与实施，并完成基础核心系统研发工作 ；
2.参与业务规则梳理，与产品经理、业务方一起设计并讨论业务场景实现 ；
3. 对现有系统的不足进行分析，找到目前系统的瓶颈，进行重构优化和改进，提高系统性能 ；
4. 参与重点项目的设计方案支持与评审，难点攻关。

任职条件：
1.3年及以上Java开发经验, 至少深入研究过一种开源技术框架；
2.扎实的Java基础知识，理解IO、 多线程、 集合等基础框架, 对JVM原理有一定的了解；
3.熟悉分布式系统的设计和应用，了解分布式、缓存、消息等机制，能合理应用分布式技术解决问题；
4.熟练掌握redis、mongodb、nsq、kafka等中间件；
5.掌握多线程及高性能的设计编码与性能调优，有高并发应用开发经验优先；
6.有较强的逻辑思维能力与沟通协作能力，并具有一定的项目推动能力；
7.喜欢研究及尝试新技术，追求编写优雅的代码，从技术趋势和思路上影响技术团队。
"
6,10101,Java开发工程师,5472684,20k-40k ,百信银行科技产品部招聘,北京,安定路5号院3号楼,['Java'],经验3-5年 ,本科及以上 ,全职,福利待遇 发展前景,"
职位描述
1、参与银行应用系统的开发工作；
2、配合项目经理，完成各功能模块的代码实现，并按项目管理规范编写相应的技术文档；
3、负责与产品、测试、运营等环节有效沟通，确保对功能和产品特性充分理解，保障产品上线正常运行。

职位要求
1、良好的Java基础，熟悉JVM原理，熟悉java主流框架，如：Spring，Spring mvc，mybatis等
2、熟悉常见的数据结构，熟悉常用的设计模式。
3、熟悉主流数据库（Oracle、MySQL）的使用，有良好的SQL设计编写能力。
4、熟悉Nginx、Hadoop、Redis、Zookeeper、Kafka、RabbitMQ等相关技术。
5、对微服务架构相关知识有自己的理解。
6、学习能力强，适应能力好；良好的团队合作精神和承受压力的能力。

欢迎立志不断挑战自己和刷新自己认知的优秀人才加入我们。
"
7,10101,Java开发工程师,5571598,20k-40k ,收钱吧研发部招聘,上海,中江路879弄天地软件园26号楼,"['后端', '服务器端', 'Java']",经验3-5年 ,本科及以上 ,全职,"平台大,牛人多,福利好","
1、负责收钱吧相关的后台服务
2、配合前端开发人员实现产品功能
3、参与系统需求调研与分析、详细设计
任职资格：
1、2年及以上服务器端开发经验
2、精通Java语言，对于面向对象模型和设计模式有清晰的认识，了解常用设计模式；
3、熟练掌握网络通信原理，熟悉服务器端，数据端的主流技术或框架，熟悉Spring Boot、SpringMVC或netty等框架，熟悉自动单元测试框架；
4、熟练掌握mysql或mongodb数据库，了解分布式事务控制；
5、了解工作流，分布式服务架构等技术优先, 有高并发，高性能WEB开发经验者优先；
6、有较强的责任心、有较强的学习能力，对技术方案和代码质量有追求；
7、具有良好的沟通、团队协作及一定的抗压能力，做事精益求精
加分项：
1、熟悉任意一门前端框架（Angular.js/Backbone/Ember）
2、有Go语言的开发经验者优先
"
8,10101,Java开发工程师,5535874,18k-35k ,自如网业主020中心招聘,北京,将台路5号院内16号楼（普天实业科技园16号楼）,['后端'],经验5-10年 ,本科及以上 ,全职,绩效奖金，六险一金，带薪年假，团队氛围好,"
工作职责:1、参与产品需求分析、业务讨论、设计工作，评估需求的技术可行性和技术难点；2、负责产品的技术框架选型，编写技术架构方案、接口规范、编码规范等文档；3、负责系统架构设计、搭建、数据库设计、核心功能代码的编写；4、为开发人员提供快速有效的开发框架、服务、公用组件；5、负责项目开发过程中的技术攻关，和运行中出现的技术问题；6、负责对架构进行优化，持续改进性能、可扩展性、稳定性、安全性；任职资格:1、4年以上Java工作经验，熟悉设计模式,擅长性能调优；2、精通基于Spring boot、Dubbo的微服务架构，近一年有实际工作经验；3、从事过互联网Saas或C端产品开发者优先；4、 熟悉JavaEE体系架构，精通SpringMVC+Spring+myBatis，近两年一直使用者优先；5.、熟练使用 Maven 等发布管理工具；熟悉 Linux 环境及常用命令，熟悉消息服务中间件；6、熟悉数据库（MySQL）有sql优化经验，至少掌握一种缓存组件（Redis、Memcached）；7、了解JavaScript、jQuery及jQuery相关插件，有过后端管理系统开发者优先。
"
9,10101,Java工程师,3183990,20k-35k ,达达-京东到家大研发招聘,上海,杨树浦路1088号东方渔人码头国际中心22F,"['大数据', 'Java', 'PHP']",经验3-5年 ,本科及以上 ,全职,"风口平台,技术驱动,系统重构","
作为Java工程师，在【新达达】你每天将：
1、为日峰值800万订单的产品提供技术支撑，提供高可用高性能的API服务，让O2O即时配送体系坚如磐石；
2、为300万配送员提供强大的产品工具，你的代码将帮助达达配送员更快更高效的配送；
3、为全国超过350个城市，数以千万计的用户，提供30分钟送达的配送服务；
4、每天经受10亿动态请求、1万QPS、TB级数据量的磨炼；
5、与来自Google、Facebook、BAT坚持梦想的工程师共事，技术驱动业务，用移动互联网技术改变物流配送。
加入【新达达】后：
1、你将参与到新达达配送系统的服务化重构中（如果你对大规模系统重构有浓厚的兴趣），新达达系统的未来架构，将有你的设计理念；
2、这次重构是新达达成立以来，最大规模对配送整个技术体系做梳理，我们将把前沿新技术、新架构理念应用到我们的新系统中，包括最核心的订单系统、用户系统；
3、在这次大范围的系统重构中，你将承担极大的压力和责任，同样，当完成系统后，你也将获得超出常规工作项目的经验，在职业生涯中留下浓墨重彩的一笔
我们希望你：
技术本领过硬：
1、有扎实的Java基础，对Spring、Struts、Mybatis等框架有深入的应用和优化经验；
2、熟悉MySQL、Redis，熟悉数据库索引；
3、熟悉数据结构和算法，熟悉Java多线程开发；
4、有大数据量、高并发实战经验；
5、有性能优化、线上故障处理实战经验。
与我们有共同的基因：
1、拥有敏锐的产品嗅觉，有强烈的好奇心，对业务、对产品有深厚的兴趣，对技术驱动业务有强烈的激情；
2、结果导向，能够通过数据分析驱动产品的优化；
3、自我驱动，勤奋而善于思考，愿意不断挑战和提升自己；
4、喜欢钻研，乐于尝试新技术，不断拓展个人技术栈。
"
10,10101,Java,5141015,15k-25k ,德邦招聘,上海,徐泾镇明珠路1018号,"['物流', '后端', 'Java']",经验3-5年 ,大专及以上 ,全职,"上市公司,制度完善,晋升通畅","
任职要求：1、熟练掌握面向对象的思想，精通JAVA语言，具有3年以上JAVA语言开发经验2、熟悉常用的开发框架，Struts、Spring、ibatis、Mybatis等3、熟悉SQL脚本编写、oracle数据库等4、性格开朗，善于沟通，表达能力要好需要跟其他部门人员沟通5、参与过大型项目研发及系统性能优化的优先考虑
"
