,catg_no,category2_no,category1_name,category2_name,category3_no,category3_name,href
10101,1,4O00,技术,后端开发,0101,Java,https://www.lagou.com/zhaopin/Java/
10102,1,4O00,技术,后端开发,0102,C++,https://www.lagou.com/zhaopin/C%2B%2B/
10103,1,4O00,技术,后端开发,0103,PHP,https://www.lagou.com/zhaopin/PHP/
10104,1,4O00,技术,后端开发,0104,数据挖掘,https://www.lagou.com/zhaopin/shujuwajue/
10105,1,4O00,技术,后端开发,0105,搜索算法,https://www.lagou.com/zhaopin/sousuosuanfa/
10106,1,4O00,技术,后端开发,0106,精准推荐,https://www.lagou.com/zhaopin/jingzhuntuijian/
10107,1,4O00,技术,后端开发,0107,C,https://www.lagou.com/zhaopin/C/
10108,1,4O00,技术,后端开发,0108,C#,https://www.lagou.com/zhaopin/C%23/
10109,1,4O00,技术,后端开发,0109,全栈工程师,https://www.lagou.com/zhaopin/quanzhangongchengshi/
10110,1,4O00,技术,后端开发,0110,.NET,https://www.lagou.com/zhaopin/.NET/
10111,1,4O00,技术,后端开发,0111,Hadoop,https://www.lagou.com/zhaopin/Hadoop/
10112,1,4O00,技术,后端开发,0112,Python,https://www.lagou.com/zhaopin/Python/
10113,1,4O00,技术,后端开发,0113,Delphi,https://www.lagou.com/zhaopin/Delphi/
10114,1,4O00,技术,后端开发,0114,VB,https://www.lagou.com/zhaopin/VB/
10115,1,4O00,技术,后端开发,0115,Perl,https://www.lagou.com/zhaopin/Perl/
10116,1,4O00,技术,后端开发,0116,Ruby,https://www.lagou.com/zhaopin/Ruby/
10117,1,4O00,技术,后端开发,0117,Node.js,https://www.lagou.com/zhaopin/Node.js/
10118,1,4O00,技术,后端开发,0118,Go,https://www.lagou.com/zhaopin/go/
10119,1,4O00,技术,后端开发,0119,ASP,https://www.lagou.com/zhaopin/asp/
10120,1,4O00,技术,后端开发,0120,Shell,https://www.lagou.com/zhaopin/shell/
10121,1,4O00,技术,后端开发,0121,区块链,https://www.lagou.com/zhaopin/qukuailian/
10122,1,4O00,技术,后端开发,0122,后端开发其它,https://www.lagou.com/zhaopin/houduankaifaqita/
10201,1,4O00,技术,移动开发,0201,HTML5,https://www.lagou.com/zhaopin/HTML5/
10202,1,4O00,技术,移动开发,0202,Android,https://www.lagou.com/zhaopin/Android/
10203,1,4O00,技术,移动开发,0203,iOS,https://www.lagou.com/zhaopin/iOS/
10204,1,4O00,技术,移动开发,0204,WP,https://www.lagou.com/zhaopin/WP/
10205,1,4O00,技术,移动开发,0205,移动开发其它,https://www.lagou.com/zhaopin/yidongkaifaqita/
10301,1,4O00,技术,前端开发,0301,web前端,https://www.lagou.com/zhaopin/webqianduan/
10302,1,4O00,技术,前端开发,0302,Flash,https://www.lagou.com/zhaopin/Flash/
10303,1,4O00,技术,前端开发,0303,html5,https://www.lagou.com/zhaopin/html51/
10304,1,4O00,技术,前端开发,0304,JavaScript,https://www.lagou.com/zhaopin/JavaScript/
10305,1,4O00,技术,前端开发,0305,U3D,https://www.lagou.com/zhaopin/U3D/
10306,1,4O00,技术,前端开发,0306,COCOS2D-X,https://www.lagou.com/zhaopin/COCOS2D-X/
10307,1,4O00,技术,前端开发,0307,前端开发其它,https://www.lagou.com/zhaopin/qianduankaifaqita/
10401,1,4O00,技术,人工智能,0401,深度学习,https://www.lagou.com/zhaopin/shenduxuexi/
10402,1,4O00,技术,人工智能,0402,机器学习,https://www.lagou.com/zhaopin/jiqixuexi/
10403,1,4O00,技术,人工智能,0403,图像处理,https://www.lagou.com/zhaopin/tuxiangchuli/
10404,1,4O00,技术,人工智能,0404,图像识别,https://www.lagou.com/zhaopin/tuxiangshibie/
10405,1,4O00,技术,人工智能,0405,语音识别,https://www.lagou.com/zhaopin/yuyinshibie/
10406,1,4O00,技术,人工智能,0406,机器视觉,https://www.lagou.com/zhaopin/jiqishijue/
10407,1,4O00,技术,人工智能,0407,算法工程师,https://www.lagou.com/zhaopin/suanfagongchengshi/
10408,1,4O00,技术,人工智能,0408,自然语言处理,https://www.lagou.com/zhaopin/ziranyuyanchuli/
10501,1,4O00,技术,测试,0501,测试工程师,https://www.lagou.com/zhaopin/ceshigongchengshi/
10502,1,4O00,技术,测试,0502,自动化测试,https://www.lagou.com/zhaopin/zidonghuaceshi/
10503,1,4O00,技术,测试,0503,功能测试,https://www.lagou.com/zhaopin/gongnengceshi/
10504,1,4O00,技术,测试,0504,性能测试,https://www.lagou.com/zhaopin/xingnengceshi/
10505,1,4O00,技术,测试,0505,测试开发,https://www.lagou.com/zhaopin/ceshikaifa/
10506,1,4O00,技术,测试,0506,游戏测试,https://www.lagou.com/zhaopin/youxiceshi/
10507,1,4O00,技术,测试,0507,白盒测试,https://www.lagou.com/zhaopin/baiheceshi/
10508,1,4O00,技术,测试,0508,灰盒测试,https://www.lagou.com/zhaopin/huiheceshi/
10509,1,4O00,技术,测试,0509,黑盒测试,https://www.lagou.com/zhaopin/heiheceshi/
10510,1,4O00,技术,测试,0510,手机测试,https://www.lagou.com/zhaopin/shoujiceshi/
10511,1,4O00,技术,测试,0511,硬件测试,https://www.lagou.com/zhaopin/yingjianceshi/
10512,1,4O00,技术,测试,0512,测试经理,https://www.lagou.com/zhaopin/ceshijingli2/
10513,1,4O00,技术,测试,0513,测试其它,https://www.lagou.com/zhaopin/ceshiqita/
10601,1,4O00,技术,运维,0601,运维工程师,https://www.lagou.com/zhaopin/yunweigongchengshi/
10602,1,4O00,技术,运维,0602,运维开发工程师,https://www.lagou.com/zhaopin/yunweikaifagongchengshi/
10603,1,4O00,技术,运维,0603,网络工程师,https://www.lagou.com/zhaopin/wangluogongchengshi/
10604,1,4O00,技术,运维,0604,系统工程师,https://www.lagou.com/zhaopin/xitonggongchengshi/
10605,1,4O00,技术,运维,0605,IT支持,https://www.lagou.com/zhaopin/ITzhichi/
10606,1,4O00,技术,运维,0606,IDC,https://www.lagou.com/zhaopin/idc/
10607,1,4O00,技术,运维,0607,CDN,https://www.lagou.com/zhaopin/cdn/
10608,1,4O00,技术,运维,0608,F5,https://www.lagou.com/zhaopin/f5/
10609,1,4O00,技术,运维,0609,系统管理员,https://www.lagou.com/zhaopin/xitongguanliyuan/
10610,1,4O00,技术,运维,0610,病毒分析,https://www.lagou.com/zhaopin/bingdufenxi/
10611,1,4O00,技术,运维,0611,WEB安全,https://www.lagou.com/zhaopin/webanquan/
10612,1,4O00,技术,运维,0612,网络安全,https://www.lagou.com/zhaopin/wangluoanquan/
10613,1,4O00,技术,运维,0613,系统安全,https://www.lagou.com/zhaopin/xitonganquan/
10614,1,4O00,技术,运维,0614,运维经理,https://www.lagou.com/zhaopin/yunweijingli/
10615,1,4O00,技术,运维,0615,运维其它,https://www.lagou.com/zhaopin/yunweiqita/
10701,1,4O00,技术,DBA,0701,MySQL,https://www.lagou.com/zhaopin/MySQL/
10702,1,4O00,技术,DBA,0702,SQLServer,https://www.lagou.com/zhaopin/SQLServer/
10703,1,4O00,技术,DBA,0703,Oracle,https://www.lagou.com/zhaopin/Oracle/
10704,1,4O00,技术,DBA,0704,DB2,https://www.lagou.com/zhaopin/DB2/
10705,1,4O00,技术,DBA,0705,MongoDB,https://www.lagou.com/zhaopin/MongoDB/
10706,1,4O00,技术,DBA,0706,ETL,https://www.lagou.com/zhaopin/etl/
10707,1,4O00,技术,DBA,0707,Hive,https://www.lagou.com/zhaopin/hive/
10708,1,4O00,技术,DBA,0708,数据仓库,https://www.lagou.com/zhaopin/shujucangku/
10709,1,4O00,技术,DBA,0709,DBA其它,https://www.lagou.com/zhaopin/dbaqita/
10801,1,4O00,技术,高端职位,0801,技术经理,https://www.lagou.com/zhaopin/jishujingli/
10802,1,4O00,技术,高端职位,0802,技术总监,https://www.lagou.com/zhaopin/jishuzongjian/
10803,1,4O00,技术,高端职位,0803,架构师,https://www.lagou.com/zhaopin/jiagoushi/
10804,1,4O00,技术,高端职位,0804,CTO,https://www.lagou.com/zhaopin/CTO/
10805,1,4O00,技术,高端职位,0805,运维总监,https://www.lagou.com/zhaopin/yunweizongjian/
10806,1,4O00,技术,高端职位,0806,技术合伙人,https://www.lagou.com/zhaopin/jishuhehuoren/
10807,1,4O00,技术,高端职位,0807,项目总监,https://www.lagou.com/zhaopin/xiangmuzongjian/
10808,1,4O00,技术,高端职位,0808,测试总监,https://www.lagou.com/zhaopin/ceshizongjian/
10809,1,4O00,技术,高端职位,0809,安全专家,https://www.lagou.com/zhaopin/anquanzhuanjia/
10810,1,4O00,技术,高端职位,0810,高端技术职位其它,https://www.lagou.com/zhaopin/gaoduanjishuzhiweiqita/
10901,1,4O00,技术,项目管理,0901,项目经理,https://www.lagou.com/zhaopin/xiangmujingli/
10902,1,4O00,技术,项目管理,0902,项目助理,https://www.lagou.com/zhaopin/xiangmuzhuli/
11001,1,4O00,技术,硬件开发,1001,硬件,https://www.lagou.com/zhaopin/yingjian/
11002,1,4O00,技术,硬件开发,1002,嵌入式,https://www.lagou.com/zhaopin/qianrushi/
11003,1,4O00,技术,硬件开发,1003,自动化,https://www.lagou.com/zhaopin/zidonghua/
11004,1,4O00,技术,硬件开发,1004,单片机,https://www.lagou.com/zhaopin/danpianji/
11005,1,4O00,技术,硬件开发,1005,电路设计,https://www.lagou.com/zhaopin/dianlusheji/
11006,1,4O00,技术,硬件开发,1006,驱动开发,https://www.lagou.com/zhaopin/qudongkaifa/
11007,1,4O00,技术,硬件开发,1007,系统集成,https://www.lagou.com/zhaopin/xitongjicheng/
11008,1,4O00,技术,硬件开发,1008,FPGA开发,https://www.lagou.com/zhaopin/fpgakaifa/
11009,1,4O00,技术,硬件开发,1009,DSP开发,https://www.lagou.com/zhaopin/dspkaifa/
11010,1,4O00,技术,硬件开发,1010,ARM开发,https://www.lagou.com/zhaopin/armkaifa/
11011,1,4O00,技术,硬件开发,1011,PCB工艺,https://www.lagou.com/zhaopin/pcbgongyi/
11012,1,4O00,技术,硬件开发,1012,模具设计,https://www.lagou.com/zhaopin/mujusheji/
11013,1,4O00,技术,硬件开发,1013,热传导,https://www.lagou.com/zhaopin/rechuandao/
11014,1,4O00,技术,硬件开发,1014,材料工程师,https://www.lagou.com/zhaopin/cailiaogongchengshi/
11015,1,4O00,技术,硬件开发,1015,精益工程师,https://www.lagou.com/zhaopin/jingyigongchengshi/
11016,1,4O00,技术,硬件开发,1016,射频工程师,https://www.lagou.com/zhaopin/shepingongchengshi/
11017,1,4O00,技术,硬件开发,1017,硬件开发其它,https://www.lagou.com/zhaopin/yingjiankaifaqita/
11101,1,4O00,技术,企业软件,1101,实施工程师,https://www.lagou.com/zhaopin/shishigongchengshi/
11102,1,4O00,技术,企业软件,1102,售前工程师,https://www.lagou.com/zhaopin/shouqiangongchengshi/
11103,1,4O00,技术,企业软件,1103,售后工程师,https://www.lagou.com/zhaopin/shouhougongchengshi/
11104,1,4O00,技术,企业软件,1104,BI工程师,https://www.lagou.com/zhaopin/bigongchengshi/
11105,1,4O00,技术,企业软件,1105,企业软件其它,https://www.lagou.com/zhaopin/qiyeruanjianqita/
20101,2,4P00,产品,产品经理,0101,产品经理,https://www.lagou.com/zhaopin/chanpinjingli1/
20102,2,4P00,产品,产品经理,0102,网页产品经理,https://www.lagou.com/zhaopin/wangyechanpinjingli/
20103,2,4P00,产品,产品经理,0103,移动产品经理,https://www.lagou.com/zhaopin/yidongchanpinjingli/
20104,2,4P00,产品,产品经理,0104,产品助理,https://www.lagou.com/zhaopin/chanpinzhuli/
20105,2,4P00,产品,产品经理,0105,数据产品经理,https://www.lagou.com/zhaopin/shujuchanpinjingli/
20106,2,4P00,产品,产品经理,0106,电商产品经理,https://www.lagou.com/zhaopin/dianshangchanpinjingli/
20107,2,4P00,产品,产品经理,0107,游戏策划,https://www.lagou.com/zhaopin/youxicehua/
20108,2,4P00,产品,产品经理,0108,产品实习生,https://www.lagou.com/zhaopin/chanpinshixisheng/
20201,2,4P00,产品,产品设计师,0201,网页产品设计师,https://www.lagou.com/zhaopin/wangyechanpinshejishi/
20202,2,4P00,产品,产品设计师,0202,无线产品设计师,https://www.lagou.com/zhaopin/wuxianchanpinshejishi/
20301,2,4P00,产品,高端职位,0301,产品部经理,https://www.lagou.com/zhaopin/chanpinbujingli/
20302,2,4P00,产品,高端职位,0302,产品总监,https://www.lagou.com/zhaopin/chanpinzongjian/
20303,2,4P00,产品,高端职位,0303,游戏制作人,https://www.lagou.com/zhaopin/youxizhizuoren/
30101,3,4Q00,设计,视觉设计,0101,视觉设计师,https://www.lagou.com/zhaopin/shijueshejishi/
30102,3,4Q00,设计,视觉设计,0102,网页设计师,https://www.lagou.com/zhaopin/wangyeshejishi/
30103,3,4Q00,设计,视觉设计,0103,Flash设计师,https://www.lagou.com/zhaopin/Flashshejishi/
30104,3,4Q00,设计,视觉设计,0104,APP设计师,https://www.lagou.com/zhaopin/APPshejishi/
30105,3,4Q00,设计,视觉设计,0105,UI设计师,https://www.lagou.com/zhaopin/UIshejishi/
